player_id,first_name,last_name,dob,place_of_birth,height_cm,preferred_foot,position_id,country_abbr,club_id
0,Rafael,Leão,1999-06-10,Almada,188,Right,1,PRT,2
1,Ciprian,Tatarusanu,1986-02-09,Bukarest,198,Right,7,ROU,2
2,Jed,Steer,1992-09-23,Norwich,183,Left,7,ENG,4
3,Wayne,Hennessey,1987-01-24,Beaumaris,198,Right,7,WAL,12
4,Tom,Heaton,1986-04-15,Chester,188,Right,7,ENG,7
5,Harry,Arter,1989-12-28,London,177,Left,9,IRL,12
6,Jack,Colback,1989-10-24,Killingworth,177,Left,10,ENG,12
7,Ashley,Young,1985-07-09,Stevenage,175,Both,5,ENG,4
8,Asmir,Begovic,1987-06-20,Trebinje,199,Right,7,,10
9,Harry,Kane,1993-07-28,London,188,Right,0,ENG,14
10,Bukayo,Saka,2001-09-05,London,178,Left,12,ENG,3
11,Erling,Haaland,2000-07-21,Leeds,195,Left,0,NOR,6
12,Seamus,Coleman,1988-10-11,Donegal,177,Right,6,IRL,10
13,Loris,Karius,1993-06-22,Biberach an der Riß,191,Right,7,GER,11
14,Matt,Ritchie,1989-09-10,Gosport,173,Left,12,SCO,11
15,Phil,Foden,2000-05-28,Stockport,171,Left,9,ENG,6
16,Phil,Jones,1992-02-21,Preston,185,Right,4,ENG,7
17,Paul,Dummett,1991-09-26,Newcastle upon Tyne,183,Left,5,WAL,11
18,Jesús,Vallejo,1997-01-05,Zaragoza,184,Right,4,ESP,13
19,Karl,Darlow,1990-10-08,Northampton,190,Right,7,ENG,11
20,Fraser,Forster,1988-03-17,Hexham,201,Right,7,ENG,14
21,Marc-André,ter Stegen,1992-04-30,Mönchengladbach,187,Right,7,GER,15
22,Andreas,Christensen,1996-04-10,Lillerød,187,Right,4,DEN,15
23,Ferran,Torres,2000-02-29,Foios,182,Right,1,ESP,15
24,Karim,Benzema,1987-12-19,Lyon,185,Right,0,FRA,13
25,Antonio,Rüdiger,1993-03-03,Berlin,190,Right,4,GER,13
26,Ferland,Mendy,1995-06-08,Meulan-en-Yvelines,180,Left,5,FRA,13
27,Franck,Kessié,1996-12-19,Ouragahio,183,Right,9,,15
28,Sergio,Busquets,1988-07-16,Badia del Vallès,189,Right,10,ESP,15
29,Jordi,Alba,1989-03-21,L'Hospitalet de Llobregat,170,Left,5,ESP,15
30,Gerard,Piqué,1987-02-02,Barcelona,194,Right,4,ESP,15
31,Iñaki,Peña,1999-03-02,Alicante,184,Right,7,ESP,15
32,Andriy,Lunin,1999-02-11,"Krasnograd, Kharkiv Oblast",191,Right,7,UKR,13
33,Mariano,Díaz,1993-08-01,Premià de Mar,180,Right,0,,13
34,Willem,Geubbels,2001-08-16,Villeurbanne,185,Right,1,FRA,1
35,Soungoutou,Magassa,2003-10-08,Stains,188,Right,10,FRA,1
36,Maghnes,Akliouche,2002-02-25,Tremblay-en-France,183,Left,8,FRA,1
37,Thomas,Didillon,1995-11-28,Séclin,193,Left,7,FRA,1
38,Félix,Lemaréchal,2003-08-07,Tours,180,Right,9,FRA,1
39,Guillermo,Maripán,1994-05-06,Vitacura,190,Right,4,CHI,1
40,Ismail,Jakobs,1999-08-17,Köln,184,Left,5,SEN,1
41,Eliot,Matazo,2002-02-15,Woluwe-Saint-Lambert,170,Right,9,BEL,1
42,Wissam,Ben Yedder,1990-08-12,Sarcelles,170,Both,0,FRA,1
43,Malang,Sarr,1999-01-23,Nice,183,Left,4,FRA,1
44,Breel,Embolo,1997-02-14,Yaoundé,187,Right,0,SUI,1
45,Aleksandr,Golovin,1996-05-30,"Kaltan, Kemerovo Oblast",178,Right,8,RUS,1
46,Axel,Disasi,1998-03-11,Gonesse,190,Right,4,FRA,1
47,Youssouf,Fofana,1999-01-10,Paris,185,Right,9,FRA,1
48,Zlatan,Ibrahimovic,1981-10-03,Malmö,195,Both,0,SWE,2
49,Kevin,Volland,1992-07-30,Marktoberdorf,174,Left,0,GER,1
50,Ruben,Aguilar,1993-04-26,Grenoble,170,Right,6,FRA,1
51,Takumi,Minamino,1995-01-16,"Izumisano, Osaka",172,Right,1,JPN,1
52,Myron,Boadu,2001-01-14,Amsterdam,181,Right,0,NLD,1
53,Gelson,Martins,1995-05-11,Praia,170,Right,2,PRT,1
54,Alexander,Nübel,1996-09-30,Paderborn,193,Right,7,GER,1
55,Krépin,Diatta,1999-02-25,Dakar,175,Right,2,SEN,1
56,Aurélien,Tchouameni,2000-01-27,Rouen,187,Right,10,FRA,13
57,Tommaso,Pobega,1999-07-15,Trieste,188,Both,9,ITA,2
58,Alexis,Saelemaekers,1999-06-27,Berchem-Sainte-Agathe,180,Right,2,BEL,2
59,Sergiño,Dest,2000-11-03,Almere,171,Right,6,,2
60,Matteo,Gabbia,1999-10-21,Busto Arsizio,185,Right,4,ITA,2
61,Simon,Kjaer,1989-03-26,Horsens,191,Right,4,DEN,2
62,Malick,Thiaw,2001-08-08,Düsseldorf,194,Right,4,GER,2
63,Junior,Messias,1991-05-13,Belo Horizonte,174,Left,2,BRA,2
64,Brahim,Díaz,1999-08-03,Málaga,171,Both,8,ESP,2
65,Yacine,Adli,2000-07-29,Vitry-sur-Seine,186,Right,8,FRA,2
66,Divock,Origi,1995-04-18,Oostende,189,Right,0,BEL,2
67,Aster,Vranckx,2002-10-04,Erps-Kwerps,183,Right,9,BEL,2
68,Davide,Calabria,1996-12-06,Brescia,176,Right,6,ITA,2
69,Charles,De Ketelaere,2001-03-10,Brugge,192,Left,8,BEL,2
70,Pierre,Kalulu,2000-06-05,Lyon,182,Right,4,FRA,2
71,Mike,Maignan,1995-07-03,Cayenne,191,Right,7,FRA,2
72,Alessandro,Florenzi,1991-03-11,Roma,173,Right,6,ITA,2
73,Rade,Krunic,1993-10-07,Foča,184,Right,9,,2
74,Ante,Rebic,1993-09-21,Split,185,Right,1,CRO,2
75,Olivier,Giroud,1986-09-30,Chambéry,192,Left,0,FRA,2
76,Tiemoué,Bakayoko,1994-08-17,Paris,189,Right,10,FRA,2
77,Marko,Lazetić,2004-01-22,Belgrad,192,Right,0,SRB,2
78,Fodé,Ballo-Touré,1997-01-03,Conflans-Sainte-Honorine,182,Left,5,SEN,2
79,Federico,Valverde,1998-07-22,Montevideo,182,Right,9,URU,13
80,Daniel,Carvajal,1992-01-11,Leganés,173,Right,6,ESP,13
81,Eric,García,2001-01-09,Barcelona,182,Right,4,ESP,15
82,Memphis,Depay,1994-02-13,Moordrecht,178,Right,0,NLD,15
83,Marco,Asensio,1996-01-21,Palma de Mallorca,182,Left,2,ESP,13
84,Toni,Kroos,1990-01-04,Greifswald,183,Right,9,GER,13
85,Marcus,Bettinelli,1992-05-24,London,193,Right,7,ENG,9
86,Giulian,Biancone,2000-03-31,Fréjus,187,Right,6,FRA,12
87,Japhet,Tanganga,1999-03-31,London,184,Right,4,ENG,14
88,Jan,Bednarek,1996-04-12,Słupca,189,Right,4,POL,4
89,Jordan,Henderson,1990-06-17,Sunderland,187,Right,9,ENG,8
90,Sergio,Gómez,2000-09-04,Badalona,171,Left,5,ESP,6
91,Carney,Chukwuemeka,2003-10-20,Eisenstadt,187,Right,9,ENG,9
92,Bryan,Gil,2001-02-11,Barbate (Cádiz),175,Left,1,ESP,14
93,Victor,Lindelöf,1994-07-17,Västerås,187,Right,4,SWE,7
94,Emil,Krafth,1994-08-02,Ljungby,184,Right,6,SWE,11
95,Martin,Dúbravka,1989-01-15,Žilina,191,Right,7,SVK,7
96,Ludwig,Augustinsson,1994-04-21,Stockholm,181,Left,5,SWE,4
97,Willy,Boly,1991-02-03,Melun,195,Right,4,,12
98,Frédéric,Guilbert,1994-12-24,Valognes,178,Right,6,FRA,4
99,Marvelous,Nakamba,1994-01-19,Hwange,177,Left,10,ZIM,4
100,Alejandro,Garnacho,2004-07-01,Madrid,180,Right,1,ARG,7
101,Rúben,Vinagre,1999-04-09,Charneca da Caparica,174,Left,5,PRT,10
102,Cédric,Soares,1991-08-31,Singen,171,Right,6,PRT,3
103,Pierre-Emerick,Aubameyang,1989-06-18,Laval,186,Right,0,GAB,9
104,Tom,Davies,1998-06-30,Liverpool,180,Right,9,ENG,10
105,Abdoulaye,Doucouré,1993-01-01,Meulan-en-Yvelines,183,Right,9,MLI,10
106,Orel,Mangala,1998-03-18,Brüssel,178,Right,9,BEL,12
107,Matt,Doherty,1992-01-16,Dublin,185,Right,6,IRL,14
108,Dan,Burn,1992-05-09,Blyth,201,Left,4,ENG,11
109,Matt,Turner,1994-06-24,"Park Ridge, New Jersey",191,Right,7,,3
110,Aaron,Wan-Bissaka,1997-11-26,London,183,Right,6,ENG,7
111,Clément,Lenglet,1995-06-17,Beauvais,186,Left,4,FRA,14
112,Ben,Godfrey,1998-01-15,York,184,Right,4,ENG,10
113,Nick,Pope,1992-04-19,Soham,198,Right,7,ENG,11
114,Callum,Wilson,1992-02-27,Coventry,180,Right,0,ENG,11
115,Conor,Coady,1993-02-25,Liverpool,185,Right,4,ENG,10
116,Konstantinos,Tsimikas,1996-05-12,Thessaloniki,179,Left,5,GRE,8
117,Neco,Williams,2001-04-13,Wrexham,183,Right,6,WAL,12
118,Moussa,Niakhaté,1996-03-08,Roubaix,190,Left,4,SEN,12
119,Dwight,McNeil,1999-11-22,Rochdale,183,Left,1,ENG,10
120,Anthony,Martial,1995-12-05,Massy,181,Right,0,FRA,7
121,Pape Matar,Sarr,2002-09-14,Thiaroye,184,Right,9,SEN,14
122,Albert Sambi,Lokonga,1999-10-22,Verviers,183,Right,9,BEL,3
123,David,de Gea,1990-11-07,Madrid,189,Right,7,ESP,7
124,Kyle,Walker,1990-05-28,Sheffield,183,Right,6,ENG,6
125,Mason,Holgate,1996-10-22,Doncaster,187,Right,4,ENG,10
126,Cole,Palmer,2002-05-06,Manchester,182,Left,8,ENG,6
127,Danny,Ings,1992-07-23,Winchester,177,Right,0,ENG,4
128,Joel,Matip,1991-08-08,Bochum,195,Right,4,CMR,8
129,Eddie,Nketiah,1999-05-30,London,175,Right,0,ENG,3
130,Yerry,Mina,1994-09-23,Guachené,195,Right,4,COL,10
131,Philippe,Coutinho,1992-06-12,Rio de Janeiro,172,Right,1,BRA,4
132,Demarai,Gray,1996-06-28,Birmingham,183,Right,1,ENG,10
133,Ben,Davies,1993-04-24,Neath,181,Left,5,WAL,14
134,Donny,van de Beek,1997-04-18,Nijkerkerveen,184,Right,9,NLD,7
135,Naby,Keïta,1995-02-10,Conakry,172,Right,9,GUI,8
136,Brennan,Johnson,2001-05-23,Nottingham,179,Right,3,WAL,12
137,Taiwo,Awoniyi,1997-08-12,Ilorin,183,Right,0,NGA,12
138,Miguel,Almirón,1994-02-10,Asunción,174,Left,8,PAR,11
