transfer_id,player_id,old_club_id,new_club_id,transfer_date,transfer_fee
0,293,17,5,2022-07-01,18.5
1,304,18,5,2019-07-01,80.0
2,305,36,5,2017-07-01,21.0
3,315,36,5,2022-07-19,67.0
4,315,17,36,2019-07-18,85.5
5,309,6,5,2020-07-15,49.0
6,308,8,5,2022-07-01,32.0
7,308,49,8,2016-07-01,41.2
8,308,47,49,2014-09-01,23.0
9,314,43,5,2021-08-30,15.0
10,48,2,42,2012-07-18,21.0
11,48,15,2,2011-07-01,24.0
12,48,34,15,2009-07-27,69.5
13,48,36,34,2006-08-10,24.8
14,48,17,36,2004-08-31,16.0
15,61,48,2,2020-09-01,3.68
16,75,9,2,2021-07-17,2.85
17,75,3,9,2018-01-31,17.0
18,72,16,2,2022-07-01,2.7
19,181,11,26,2016-07-01,15.6
20,181,14,11,2016-01-27,15.7
21,184,18,11,2017-07-21,5.0
22,4,24,4,2019-08-01,8.8
23,7,7,34,2020-01-17,1.7
24,7,4,7,2011-07-01,18.0
25,7,55,4,2007-01-23,13.2
26,8,51,9,2015-07-13,11.0
27,163,40,11,2020-09-08,16.5
28,2,40,4,2013-07-01,0.54
29,19,12,11,2014-08-09,5.0
30,3,57,26,2014-01-31,3.65
31,166,32,12,2022-07-20,9.4
32,20,25,49,2014-08-09,12.5
33,20,11,25,2012-07-05,2.5
34,176,12,11,2014-08-09,5.0
35,180,53,11,2016-01-12,16.0
36,180,8,53,2013-07-03,5.8
37,182,5,12,2022-07-10,8.5
38,194,16,4,2022-07-01,3.5
39,191,4,6,2010-08-17,22.0
40,191,11,4,2008-08-29,15.0
41,191,37,11,2004-07-02,7.4
42,195,2,42,2012-07-14,42.0
43,188,51,12,2022-01-31,1.85
44,187,56,26,2018-08-02,10.7
45,189,32,12,2022-07-20,2.4
46,11,21,6,2022-07-01,60.0
47,11,47,21,2020-01-01,20.0
48,102,50,49,2015-07-01,7.0
49,97,57,12,2022-09-01,2.6
50,97,29,57,2018-07-01,12.0
51,101,57,50,2022-07-01,10.0
52,64,6,13,2019-01-06,17.0
53,59,17,15,2020-10-01,21.0
54,74,28,2,2020-09-12,6.7
55,198,31,8,2022-07-01,5.9
56,274,30,7,2022-07-05,15.0
57,89,52,8,2011-07-01,18.0
58,233,18,3,2020-10-05,50.0
59,238,21,9,2019-01-02,64.0
60,235,38,9,2020-08-26,50.2
61,241,13,9,2019-07-01,45.0
62,241,34,13,2015-08-18,38.0
63,93,20,7,2017-07-01,35.0
64,278,23,3,2021-07-30,58.5
65,272,29,3,2022-07-01,35.0
66,196,12,4,2020-09-03,15.75
67,246,19,4,2021-08-04,32.0
68,252,17,14,2017-08-23,42.0
69,248,21,6,2016-07-01,27.0
70,91,4,9,2022-08-04,18.0
71,251,13,7,2021-08-14,40.0
72,256,57,12,2022-08-19,29.5
73,257,49,7,2014-07-01,37.5
74,236,36,14,2022-01-31,19.0
75,205,23,14,2022-07-01,29.2
76,211,43,8,2021-07-01,40.0
77,243,37,6,2022-07-04,49.0
78,244,49,14,2020-08-11,16.6
79,244,5,49,2016-07-11,15.0
80,123,18,7,2011-07-01,25.0
81,124,14,6,2017-07-14,52.7
82,127,49,4,2021-08-04,29.42
83,127,8,49,2019-07-01,25.1
84,127,24,8,2015-07-01,8.3
85,204,29,7,2018-07-01,22.0
86,282,57,4,2022-09-01,15.0
87,284,31,14,2019-08-08,27.0
88,110,26,7,2019-07-01,55.0
89,113,24,11,2022-07-01,11.5
90,115,32,57,2015-07-03,2.8
91,276,42,15,2016-07-13,16.5
92,117,8,12,2022-07-10,20.0
93,260,22,3,2016-07-01,45.0
94,261,40,4,2021-07-01,38.4
95,263,3,11,2021-08-13,29.4
96,264,25,3,2019-08-08,27.0
97,268,21,6,2022-09-01,17.5
98,270,50,14,2014-07-31,5.0
99,262,38,7,2019-08-05,87.0
100,262,33,38,2017-07-01,13.7
101,131,15,4,2022-07-01,20.0
102,131,8,15,2018-01-08,135.0
103,131,34,8,2013-01-30,13.0
104,285,38,9,2016-07-16,35.8
105,133,53,14,2014-07-23,12.65
106,134,17,7,2020-09-02,39.0
107,266,38,6,2018-07-10,67.8
108,139,22,36,2022-01-31,10.1
109,92,48,14,2021-07-26,25.0
110,111,48,15,2018-07-12,35.9
111,135,43,8,2018-07-01,60.0
112,135,47,43,2016-07-01,29.75
113,103,15,9,2022-09-01,12.0
114,103,21,3,2018-01-31,63.75
115,108,23,11,2022-01-31,15.0
116,107,57,14,2020-08-30,16.8
117,149,39,14,2022-07-19,14.7
118,141,55,12,2022-08-13,14.8
119,169,7,24,2015-01-12,2.56
120,132,38,19,2021-01-31,2.0
121,142,18,11,2022-01-07,14.0
122,142,14,18,2019-07-17,22.0
123,142,24,14,2015-07-01,4.9
124,152,49,3,2014-07-28,20.23
125,164,27,11,2018-07-26,4.0
126,155,4,11,2022-07-01,17.5
127,155,49,4,2019-07-01,15.5
128,157,40,11,2017-07-19,11.3
129,159,24,11,2022-01-13,30.0
130,159,37,24,2017-08-21,16.4
131,159,38,37,2015-07-01,3.6
132,171,3,8,2017-08-31,38.0
133,171,49,3,2011-08-08,13.8
134,215,49,8,2018-01-01,84.65
135,215,25,49,2015-09-01,15.7
136,216,17,7,2022-07-27,57.37
137,217,46,11,2022-08-26,70.0
138,217,21,46,2019-07-01,15.0
139,231,23,9,2022-08-05,65.3
140,227,33,8,2017-07-21,9.0
141,219,13,3,2021-08-20,35.0
142,232,21,7,2021-07-23,85.0
143,232,6,21,2017-08-31,20.59
144,223,19,9,2020-09-04,80.0
145,224,20,8,2022-07-01,80.0
146,225,19,14,2015-08-28,30.0
147,229,6,9,2022-07-13,56.2
148,229,8,6,2015-07-14,63.7
149,222,38,9,2022-08-31,80.4
150,53,50,18,2018-07-25,22.0
